الفعل الأمر
اِشرَبْ الماءَ يا أحمدُ.
اِكتُبِ الرسالةَ يا مريمُ.
اِطلُبِ الطعامَ يا عليُّ.
اِقرَأِ الكتابَ يا فاطمةُ.
اِسمَعِ الأغنيةَ يا سارةُ.
اِشترِ الهديةَ يا محمدُ.
اِحضِرِ الحفلةَ يا نورا.
اِنظُرْ إلى السماءِ يا عمرو.
اِستَمِعِ إلى المحاضرةِ يا رانيا.
اِذهَبْ إلى المدرسةِ يا أسامةُ.
اِجلِسِ في المقعدِ يا ريمُ.
اِفتَحْ النافذةَ يا سامي.
اِغلِقِ البابَ يا ليلى.
اِنتظِرْ في الصفِّ يا حسامُ.
اِركُضِ في الملعبِ يا ناديةُ.
اِطبخِ الطعامَ يا هناءُ.
اِغسلْ الصحونَ يا مجديً.
اِكنسِ الأرضيةَ يا نهىً.
اِجمعْ الأوراقَ يا طارقُ.
اِحفظِ القصيدةَ يا دالياً.
اِستيقظْ مبكرًا يا راميً.
اِستحمْ قبل الذهابِ يا عادلُ.
اِرتديْ الملابسَ يا على.
