الفعل الماضى
قَرَأَ الولدُ الكِتابَ.
أَكَلَ الرجُلُ الطعامَ.
شَرِبَ القطُ الحليبَ.
زَرَعَ الفلاحُ البذورَ.
كَتَبَ الطالبُ الرسالةَ.
رَكِبَ الشابُ الدراجةَ.
فَتَحَ البائعُ المتجرَ.
طَبَخَت الأمُ العشاءَ.
نَظَّفَ العاملُ الغرفةَ.
أَغلَقَ الأبُ البابَ.
رَسَمَ الفنانُ اللوحةَ.
حَمَلَ العمالُ الأثاثَ.
قَادَ السائقُ السيارةَ.
لَعِبَ الأطفالُ الكرةَ.
صَعِدَ الرجلُ الجبلَ.
سَمِعَ الأستاذُ الصوتَ.
بَنَى البناءُ البيتَ.
أَهدى الصديقُ الهديةَ.
غَسَلَ الطبيبُ يديه.
رَأَى الطفلُ العصفورَ.
زَارَ الضيفُ البيتَ.
لَمَسَ الأعمى الجدارَ.
أَرسَلَ البائعُ البضاعةَ.
قَصَّ الحلاقُ الشعرَ.
أَحضَرَ الطباخُ الطعامَ.
